MATERIAL,PAPEL,QUANTIDADE_PAPEL,VALOR_IMPRESSAO,UNIT_IMPRESSAO,QUANTIDADE_APROVADA
GUARDA FRENTE PADRAO 14X21 - ITEM 113,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA FRENTE PADRAO 11.5X16 - ITEM,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA FRENTE PADRAO 9X13 - 2X - ITEM 113,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",16
"GUARDA FRENTE PADRÃO 17X19,5",20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO CADERNO WIRE-O COLEGIAL 17X24 - 160 FLS,Offset 120g/m2 76x112,1,"0,04","R$ 0,01",4
FORRO CADERNO WIRE-O OFFSET 17X24 - ITEM 61,Offset 120g/m2 76x112,1,"0,04","R$ 0,01",4
FORRO CADERNO WIRE-O UNIVERSITARIO 20X28 - 80 FLS,Offset 120g/m2 76x112,1,"0,04","R$ 0,01",4
FORRO CADERNO WIRE-O UNIVERSITARIO 20X28 - 160 FLS,Offset 120g/m2 76x112,1,"0,04","R$ 0,01",4
FORRO PLANNER WIRE-O ITEM 143,20403SCRITURA 130G - 66X96UNICA-U,1,"0,02","R$ 0,01",4
FORRO FICHARIO 17X24 COM QR CODE,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO REVISTA PLANNER 19X25 ITEM 141,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO AGENDA WIRE-O SEMANAL A5 ANOTAÇÕES - ITEM 150,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
"FORRO AGENDA WIRE-O SEMANAL JOURNAL 11,5X16 - ITEM 152",20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",12
"FORRO AGENDA WIRE-O SEMANAL 15,5X 9 - ITEM 151",20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",12
FORRO AGENDA WIRE-O SEMANAL A5 C/DIV - 87FLS+12DIV,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO AGENDA FICHARIO 88 FLS - A6 - ITEM 139,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",12
FORRO AGENDA FICHARIO 87 FLS - A5 - ITEM 137,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO FICHARIO A5 FICHARIO - ITEM 136,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
"FORRO AGENDA DIARIA WIRE-O 11,5 X 16 - ITEM 155",20403SCRITURA 130G - 66X96UNICA-U,1,"0,03","R$ 0,01",3
FORRO AGENDA DIARIA WIRE-O A5 - ITEM 154,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO BLOCO WIRE-O 12 X 20 - ITEM 142,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
FORRO PLANNER FINANCEIRO ITEM 144,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
FORRO CADERNO ORGANIZADOR 17 X 24 - ITEM 149,Offset 120g/m2 89x117,2667,1300,"R$ 0,13",10000
FORRO CADERNO ORGANIZADOR A5 - ITEM 148,Offset 120g/m2 89x117,2667,1300,"R$ 0,13",10000
Forro A6 Fichario - Duo,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",12
