MATERIAL,PAPEL,QUANTIDADE_PAPEL,VALOR_IMPRESSAO,UNIT_IMPRESSAO,QUANTIDADE_APROVADA
GUARDA VERSO AGENDA DIÁRIA 14X21 - ITEM 120,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO PAUTADO 14X21 -ITEM 127,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO AG SEM. ANOTACÕES 14X21 - ITEM 122,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO SEM PAUTA 14X21 - ITEM 134,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO SEM PAUTA 11.5X16 - ITEM 133,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO AGENDA SEMANAL 9X13 - 2X ITEM 124,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",16
GUARDA VERSO LEVE 120 FLS - 14X21 - ITEM 135,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO AGENDA SEMANAL 14X21 - ITEM 123,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO PAUTADO 9X13 - ITEM 126,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,00",16
GUARDA VERSO TRI - ITEM 131,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO PONTADO 14X21 - ITEM 127,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO SEM PAUTA 9X13 2X - ITEM 132,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO QUADRICULADO 14X21 - ITEM 130,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
GUARDA VERSO CADERNETA PLANNER 14X21 - ITEM 125,20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",8
"GUARDA VERSO PLANEJAMENTO 17X19,5",20403SCRITURA 130G - 66X96UNICA-U,1,"0,04","R$ 0,01",4
