DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
Percalux Azul Noturno 180g/m2 Bob 1400 mm,21,2024-01-09,2024-01-03,2024-01-03,2024-01-09,2024-01-09,13958,Jafi Decorações,367.5,0.0,0.0,Projeto,Cartão,1.0,17.5,METROS,Sintéticos,COURO
Papelao Kraft 625g/m2 800 x 1000 - Himasa,50,2023-12-14,2023-11-29,2024-01-08,2024-01-16,2024-01-11,AV677,Belo Plástico,483.0,0.0,0.0,Gomes,Cartão,6.0,9.66,FOLHAS,Papelão,PAPELAO
20378 WIRE-O - BOBINA PRETAUNICA-9/16,6,2024-01-08,2023-12-04,2024-01-04,2024-01-05,2024-01-08,197995,Lassane,2830.56,333.97,367.8,Flora,Boleto,3.0,471.76,CAIXAS,Wire-o,WIRE-O
Percalux Azul Noturno 180g/m2 Bob 1400 mm,30,2024-01-03,2023-12-27,2023-12-27,2023-01-03,2024-01-03,13933,Jafi Decorações,525.0,0.0,0.0,Projeto,Cartão,2.0,17.5,METROS,Sintéticos,COURO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,20,2024-01-03,2023-12-27,2023-12-21,2023-01-03,2024-01-03,13933,Jafi Decorações,350.0,0.0,0.0,Projeto,Cartão,2.0,17.5,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-1,4,2024-01-12,2024-01-03,2024-01-08,2024-01-09,2024-01-12,198119,Lassane,1162.72,232.84,162.19,Elohim,Boleto,3.0,290.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,2024-01-15,2024-01-04,2024-01-12,2024-01-15,2024-01-16,198391,Lassane,345.93,55.7,45.19,Elohim,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,1,2024-01-15,2024-01-04,2024-01-12,2024-01-15,2024-01-16,198391,Lassane,453.26,72.99,60.78,Elohim,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,1,2024-01-15,2024-01-04,2024-01-12,2024-01-15,2024-01-16,198391,Lassane,323.33,52.06,44.05,Elohim,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,1,2024-01-15,2024-01-04,2024-01-12,2024-01-15,2024-01-16,198391,Lassane,333.91,53.77,46.52,Elohim,Boleto,3.0,333.91,CAIXAS,Wire-o,WIRE-O
MP004 ILHOS Nº 54PRETO-U,10000,2024-01-15,2024-01-04,2024-01-18,2024-01-23,2024-01-26,2869,Parco Comércio e Serviços,245.9,0.0,44.26,Projeto,Boleto,3.0,0.02,UNIDADES,Aviamentos,ILHOS
Saco Adesivado 20x25 - Wire-o A5,10000,2024-01-15,2024-01-04,2024-01-30,2024-01-31,2024-02-05,189502,Interpel R4,1690.0,15.0,0.0,Projeto,Cartão,3.0,0.17,UNIDADES,Embalagens,SACO ADESIVADO
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,100,2024-01-15,2024-01-05,2024-01-09,2024-01-12,2024-01-12,85466,Castro e Castro,9.99,0.0,1.08,Projeto,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Turquesa - Cód. 47 Kit-4MM,200,2024-01-15,2024-01-05,2024-01-09,2024-01-12,2024-01-12,85466,Castro e Castro,19.98,0.0,2.16,Projeto,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,100,2024-01-15,2024-01-05,2024-01-09,2024-01-12,2024-01-12,85466,Castro e Castro,9.99,0.0,1.08,Projeto,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,100,2024-01-15,2024-01-05,2024-01-09,2024-01-12,2024-01-12,85466,Castro e Castro,9.99,0.0,1.08,Projeto,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP003 ELASTICO Nº 12Dourado - São José-U,950,2024-01-15,2024-01-05,2024-01-10,2024-01-11,2024-01-17,984934,DSJ Londrina,721.24,16.35,88.51,Gomes,Cartão,3.0,0.76,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,200,2024-01-15,2024-01-05,2024-01-09,2024-01-12,2024-01-12,85466,Castro e Castro,128.8,0.0,8.62,Projeto,Boleto,3.0,0.64,METROS,Aviamentos,ELASTICO
Papelao 1250 g/m2 1.5mm - 800 x 1000,1500,2024-02-01,2024-01-08,2024-01-09,2024-02-05,2024-02-14,36185,Papelão União,6637.08,506.47,775.95,Flora,Boleto,4.0,4.42,FOLHAS,Papelão,PAPELAO
Papelao 1250 g/m2 1.9mm - 700 x 1100 H25,6000,2024-02-01,2024-01-08,2024-01-09,2024-02-05,2024-02-14,36185,Papelão União,31881.45,2432.84,3976.72,Flora,Boleto,4.0,5.31,FOLHAS,Papelão,PAPELAO
MP003 ELASTICO Nº 12Verde Limão - São José-U,10,2024-01-15,2024-01-08,2023-01-15,2024-01-15,2024-01-15,26680,V P Ribeiro de Souza,14.9,15.9,0.0,Projeto,Cartão,1.0,1.49,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,250,2024-01-15,2024-01-05,2024-01-15,2024-01-17,2024-01-18,67777,Comercial Maluli,217.0,35.73,30.33,Gomes,Cartão,1.0,0.87,METROS,Aviamentos,ELASTICO
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,1,2024-02-02,2024-01-25,2024-01-28,2024-01-30,2024-02-02,199262,Lassane,345.93,36.94,44.46,Asaliah,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,2,2024-02-02,2024-01-25,2024-01-28,2024-01-30,2024-02-02,199262,Lassane,691.86,73.94,88.93,Asaliah,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,2,2024-02-02,2024-01-25,2024-01-28,2024-01-30,2024-02-02,199262,Lassane,906.51,96.03,116.52,Asaliah,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,2,2024-02-02,2024-01-25,2024-01-28,2024-01-30,2024-02-02,199262,Lassane,906.51,96.03,116.52,Asaliah,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
