WIREO,QUANTIDADE_POR_CAIXA
20378 WIRE-O - BOBINA PRETAUNICA-7/8,6000
20380 WIRE-O - BOBINA BRANCAUNICA-3/8,45000
20378 WIRE-O - BOBINA PRETAUNICA-3/8,45000
20378 WIRE-O - BOBINA PRETAUNICA-5/8,12500
20381 WIRE-O - BOBINA PRATAUNICA-7/8,6000
20378 WIRE-O - BOBINA PRETAUNICA-1,4500
20378 WIRE-O - BOBINA PRETAUNICA-3/4,8000
20380 WIRE-O - BOBINA BRANCAUNICA-9/16,21000
20378 WIRE-O - BOBINA PRETAUNICA-9/16,21000
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,12500
20380 WIRE-O - BOBINA BRANCAUNICA-1,4500
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,6000
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,8000
20378 WIRE-O - BOBINA PRETAUNICA-1 1/4,2100
20380 WIRE-O - BOBINA BRANCAUNICA-1 1/4,2100
20382 WIRE-O - BOBINA DOURADAUNICA-3/4,8000
20382 WIRE-O - BOBINA DOURADAUNICA-7/8,6000
20382 WIRE-O - BOBINA DOURADAUNICA-1 1/4,2100
20382 WIRE-O - BOBINA DOURADAUNICA-5/8,21000
20382 WIRE-O - BOBINA DOURADAUNICA-1,12500
