MATERIAL,PAPEL,QUANTIDADE_PAPEL,VALOR_IMPRESSAO,UNIT_IMPRESSAO,QUANTIDADE_APROVADA
Miolo Kit Planner Wire-o A5 - 4/4 Melissa Só Divisoria,MP027Offset 240g/m2 66x96UNICA-U,5809,15120,2.16,7000
DIVISORIA 1/1 NOVA - CADERNO E 17X24 - ITEM 56,Offset 120g/m2 76x112,10334,18480,0.92,20000
Divisoria Planner 4/4 - 6 Cores Item 58 - Livrobel,MP027Offset 240g/m2 66x96UNICA-U,11587,22986,1.53,15000
Divisoria Planner 1/1 - Preta Item 59 - Livrobel,MP027Offset 240g/m2 66x96UNICA-U,3156,6480,1.62,4000
DIVISORIA AGENDA FICHARIO 4/4 A6 - ITEM 159,Couche Brilho 210g/m2 66 x 96 - 150 fls,3799,9996,1.43,7000
DIVISORIA AGENDA FICHARIO 4/4 A5 - ITEM 158,MP027Offset 240g/m2 66x96UNICA-U,18381,36660,1.56,23500
Divisoria 4/4 A6 - ITEM 90,Couche Brilho 210g/m2 66 x 96 - 150 fls,984,4300,0.86,5000
DIVISORIA 4/4 NOVA - 17X24 E CADERNO ORG. - ITEM 55,Offset 120g/m2 76x112,6928,19800,0.99,20000
DIVISORIA 4/4 A5 E CADERNO ORGANIZADOR - ITEM 92,MP027Offset 240g/m2 66x96UNICA-U,3025,8272,0.75,11000
DIVISORIA MELISSA AGENDA FICHARIO A6 4/4,Couche Brilho 210g/m2 66 x 96 - 150 fls,978,4950,3.3,1500
DIVISORIA MELISSA 4/4 - FICHÁRIO - ITEM 96,Offset 240g/m2 76x112,2300,10980,3.66,3000
DIVISORIA MELISSA AGENDA FICHÁRIO A5 4/4,MP027Offset 240g/m2 66x96UNICA-U,4278,12600,2.52,5000
DIVISORIA MELISSA 4/4 - A5,MP027Offset 240g/m2 66x96UNICA-U,1134,5200,1.3,4000
DIVISORIA MELISSA CADERNO ORGANIZADOR 4/4 17X24 - ITEM 94,Offset 240g/m2 76x112,1150,5490,1.83,3000
