MATERIAL,PAPEL,QUANTIDADE_PAPEL,VALOR_IMPRESSAO,UNIT_IMPRESSAO,QUANTIDADE_APROVADA
MIOLO CADERNO WIRE-O 20X28 80 FLS - MIOLO+BOLSA,MP023OFFSET 75G/M2 89X117UNICA-U,51000,12900.0,1.29,10000
MIOLO CADERNO WIRE-O 17X24 160 FLS - MIOLO+BOLSA,Offset 63g/m2 72x102,156500,34510.0,2.38,14500
MIOLO CADERNO WIRE-O 20X28 160 FLS - MIOLO+BOLSA,Offset 63g/m2 89x117,112000,26040.0,2.48,10500
MIOLO REFIL KIT PLANNER A5 - 5024,MP042Polen Natural 80g/m2 66x96UNICA-U,98477,33450.0,2.23,15000
MIOLO REFIL FICHARIO A5 SEM PAUTA - 4 NA FL,MP042Polen Natural 80g/m2 66x96UNICA-U,5,0.4,0.2,2
MIOLO REFIL FICHARIO A5 PAUTADO - 4 NA FL,MP042Polen Natural 80g/m2 66x96UNICA-U,5,0.4,0.2,2
Miolo Ciceros sem Pauta - Anotaçoes Item 11 - 9x13,Polen Natural 80g/m2 87x114,13250,6400.0,0.64,10000
Miolo Ciceros sem Pauta - Anotaçoes Item 14 - 14x21,Polen Natural 80g/m2 64x88,78000,13050.0,0.87,15000
Miolo Ciceros Pautado Item 13 - 9x13,Polen Natural 80g/m2 87x114,13250,6400.0,0.64,10000
Miolo Ciceros Pautado Item 16 - 14x21,Polen Natural 80g/m2 64x88,79125,20850.0,1.39,15000
Miolo Ciceros Quadriculado Item 17 - 14x21,Polen Natural 80g/m2 64x88,15750,5550.0,1.85,3000
Miolo Ciceros Pontado Item 30 - 14x21,Polen Natural 80g/m2 64x88,52000,13500.0,1.35,10000
Miolo Planner Financeiro Item 76 - 14x21 - 128 Págs - 202,MP042Polen Natural 80g/m2 66x96UNICA-U,25608,7980.0,1.33,6000
Miolo Revista Polen 14x21 Pautado 63x44 - Cad. 16 páginas,MP042Polen Natural 80g/m2 66x96UNICA-U,2,0.08,0.08,1
Miolo Revista Polen 14x21 Pontado 63x44 - Cad. 16 páginas,MP042Polen Natural 80g/m2 66x96UNICA-U,2,0.08,0.08,1
Miolo Revista Polen 14x21 Quadriculado 63x44 - Cad. 16 páginas,MP042Polen Natural 80g/m2 66x96UNICA-U,2,0.08,0.08,1
Miolo Fichario 17x24 Item 52 - Pólen Pautado,Polen Natural 80g/m2 87x114,94118,24750.0,1.65,15000
Miolo Ciceros sem Pauta - 120 pags. Item 53 - 14x21 Natural 120 págs,MP042Polen Natural 80g/m2 66x96UNICA-U,6874,551.0,0.31,1800
Miolo Revista Planner 19x25 Item 57 - 80 págs,Polen Natural 80g/m2 87x114,13250,11250.0,2.25,5000
MIOLO CADERNO WIRE-O 17X24 80 FLS - MIOLO+BOLSA,Offset 75g/m2 76x112,146000,28420.0,0.98,29000
Miolo Fichario A5 - Duo Item 86,MP042Polen Natural 80g/m2 66x96UNICA-U,68770,21300.0,1.42,15000
"Miolo Planner Horizontal 30 x 11,5 Item 87 - Pólen Natural",MP042Polen Natural 80g/m2 66x96UNICA-U,15380,4800.0,1.2,4000
Miolo Ciceros Caderneta Planner Item 72 - 208 Pags,Polen Natural 80g/m2 64x88,39501,14000.0,2.5,5600
Miolo Bloco Wire-o 12 x 20 Item 75 - Polen Natural - 8 na fl,MP042Polen Natural 80g/m2 66x96UNICA-U,5,0.2,0.2,1
Miolo Fichario A6 Item 88,MP042Polen Natural 80g/m2 66x96UNICA-U,9975,4800.0,0.96,5000
Miolo Ciceros Caderneta Tri Item 85 - Pont/Paut/Sem Pauta,MP042Polen Natural 80g/m2 66x96UNICA-U,39200,10800.0,1.8,6000
Miolo Troca Troca - Caderno Organizador Item 84 - 17 x 24,MP039Offset 90g/m2 76x112UNICA-U,36212,15260.0,2.18,7000
Miolo Troca Troca - Caderno Organizador Item 83 - A5,MP041Offset 90g/m2 64x88UNICA-U,36470,12110.0,1.73,7000
